NAME,FALL 2014,FALL 2015,FALL 2016
SAVAGE BLUFFS,15,18,15
POTNU,8,1,1
BONANZA,11,25,14
THREE HORN,4,8,11
TRAIL CREEK,,18,
CLAYTON CREEK,,,5
BEEHAVE1,19,9,6
BEEHAVE2,8,10,3
EAST ASHLAND CREEK,,,26
BULL GAP,,,23
CHINTIMINY,10,18,5
FERNGULLY,19,15,15
FARMER EASY,12,5,13
BUZZARD CREEK,1,7,2
ERICKSON CREEK,9,4,10
SCHOONER CREEK,24,14,7
WILDCAT,25,19,11
EASY TIGER,,1,1
