NAME,FALL 2014,FALL 2015,FALL 2016
BEEHAVE,8,2,0
BONANZA,0,5,3
BULL GAP,,,8
BUZZARD CREEK,1,2,0
CHINTIMINY,1,1,0
CLAYTON CREEK,,,0
EAST ASHLAND CREEK,,,6
EASY TIGER,,1,0
ERICKSON CREEK,3,0,1
FARMER EASY,5,0,2
FERNGULLY,0,0,0
POTNU,0,0,0
SAVAGE BLUFFS,5,2,4
SCHOONER CREEK,1,1,0
THREE HORN,1,1,1
TRAIL CREEK,,5,
WILDCAT,0,2,1
