NAME,FALL 2014,FALL 2015,FALL 2016
FERNGULLY,0,0,0
POTNU,0,0,0
CHINTIMINY,1,1,0
SCHOONER CREEK,1,1,0
EASY TIGER,,1,0
BUZZARD CREEK,1,2,0
BEEHAVE,5,2,0
CLAYTON CREEK,,,0
ERICKSON CREEK,2,0,1
THREE HORN,1,1,1
WILDCAT,0,2,1
FARMER EASY,3,0,2
BONANZA,0,3,3
SAVAGE BLUFFS,4,2,4
EAST ASHLAND CREEK,,,5
BULL GAP,,,6
TRAIL CREEK,,3,
