NAME,GLSA,NECI,NEFU
CLAYTON CREEK,3,0,0
FERNGULLY,10,0,0
EASY TIGER,1,1,0
CHINTIMINY,7,2,0
SCHOONER CREEK,8,2,0
BUZZARD CREEK,2,3,0
WILDCAT,13,3,0
ERICKSON CREEK,4,4,0
FARMER EASY,6,5,0
BEEHAVE,5,7,0
EAST ASHLAND CREEK,15,10,0
BULL GAP,14,11,0
BONANZA,11,6,1
SAVAGE BLUFFS,9,8,2
POTNU,2,0,3
TRAIL CREEK,12,9,4
THREE HORN,4,3,5
