NAME,FALL 2014,FALL 2015,FALL 2016
BEEHAVE,0,0,0
CHINTIMINY,0,0,0
FERNGULLY,0,0,0
FARMER EASY,0,0,0
BUZZARD CREEK,0,0,0
ERICKSON CREEK,0,0,0
SCHOONER CREEK,0,0,0
WILDCAT,0,0,0
EASY TIGER,,0,0
CLAYTON CREEK,,,0
EAST ASHLAND CREEK,,,0
BULL GAP,,,0
BONANZA,1,0,1
SAVAGE BLUFFS,2,2,2
POTNU,3,1,3
THREE HORN,4,4,4
TRAIL CREEK,,3,
