,O100,O99,O98,O97,O96,O95,O94,O93,O92,O91,O90,O89,O88,O87,O86,O85,O84,O83,O82,O81,O80,O79,O78,O77,O76,O75,O74,O73,O72,O71,O70,O69,O68,O67,O66,O65,O64,O63,O62,O61,O60,O59,O58,O57,O56,O55,O54,O53,O52,O51,O50,O49,O48,O47,O46,O45,O44,O43,O42,O41,O40,O39,O38,O37,O36,O35,O34,O33,O32,O31,O30,O29,O28,O27,O26,O25,O24,O23,O22,O21,O20,O19,O18,O17,O16,O15,O14,O13,O12,O11,O10,O9,O8,O7,O6,O5,O4,O3,O2,O1
Potnu 9,0.45113,0.2877,0.34052,0.3616,0.45671,0.4891,0.50535,0.52952,0.557,0.55594,0.54358,0.53009,0.50496,0.48024,0.45508,0.45431,0.46983,0.48855,0.48509,0.50008,0.47253,0.48437,0.52391,0.52134,0.49186,0.50465,0.53243,0.53362,0.51893,0.53006,0.51859,0.48656,0.51553,0.51092,0.50829,0.47924,0.49661,0.47902,0.47364,0.50701,0.49686,0.48268,0.52331,0.49719,0.51381,0.49945,0.50776,0.51436,0.51362,0.50146,0.51138,0.51748,0.52449,0.51036,0.50397,0.49131,0.51227,0.50277,0.52166,0.51925,0.54274,0.54179,0.54288,0.54646,0.54089,0.55632,0.57097,0.58027,0.58028,0.57067,0.57807,0.5798,0.57744,0.58871,0.60699,0.60268,0.61386,0.59694,0.59663,0.59577,0.57371,0.5364,0.49049,0.48223,0.50095,0.48214,0.46105,0.44913,0.44162,0.42986,0.40562,0.38345,0.34858,0.32939,0.31669,0.29615,0.28444,0.25194,0.22413,0.18399
Savage Bluffs 1,0.69098,0.64368,0.54889,0.59452,0.5429,0.53528,0.51181,0.45331,0.46165,0.48081,0.51728,0.50015,0.51163,0.55017,0.62447,0.6498,0.67867,0.71095,0.72938,0.69345,0.69504,0.70932,0.71265,0.71885,0.71559,0.70848,0.67767,0.70436,0.72701,0.73174,0.72308,0.69867,0.72955,0.7076,0.70176,0.69411,0.68644,0.70562,0.69984,0.67883,0.67032,0.65037,0.65799,0.65724,0.66195,0.63789,0.64402,0.64673,0.66761,0.64333,0.64022,0.63558,0.63967,0.61702,0.62637,0.63691,0.62168,0.62968,0.61346,0.60083,0.59894,0.61248,0.62801,0.63695,0.6437,0.63517,0.62191,0.63245,0.65161,0.62781,0.63768,0.62601,0.6008,0.59628,0.56711,0.5543,0.52001,0.51328,0.46594,0.45915,0.45794,0.46717,0.46276,0.44735,0.43114,0.42497,0.42915,0.41775,0.40616,0.39988,0.39188,0.39628,0.38844,0.38923,0.37968,0.38227,0.38159,0.37226,0.3855,0.3827
Savage Bluffs 2,0.69861,0.55618,0.6222,0.61458,0.58475,0.58101,0.55294,0.54399,0.58201,0.56723,0.59658,0.59747,0.62256,0.62366,0.59823,0.59407,0.61026,0.60522,0.58965,0.56573,0.56075,0.54296,0.54988,0.55813,0.57021,0.59325,0.58779,0.57964,0.54833,0.54824,0.56003,0.55288,0.54778,0.5479,0.52959,0.5341,0.53172,0.51834,0.52745,0.51555,0.51731,0.50746,0.49687,0.50783,0.48953,0.49251,0.5112,0.51564,0.49849,0.50735,0.48727,0.46903,0.48042,0.48707,0.46861,0.46796,0.44978,0.4462,0.44347,0.43305,0.43676,0.42691,0.4089,0.39903,0.40605,0.39621,0.38289,0.38813,0.38545,0.38075,0.36593,0.36043,0.35793,0.34641,0.32062,0.31272,0.32046,0.30446,0.30169,0.29895,0.31039,0.31178,0.30763,0.30651,0.30864,0.29951,0.29775,0.29145,0.29451,0.2914,0.27829,0.26853,0.26832,0.25905,0.27218,0.26401,0.25701,0.25796,0.24905,0.24226
Savage Bluffs 3,0.57515,0.47726,0.44346,0.56455,0.55727,0.6132,0.60665,0.65035,0.64812,0.66777,0.67243,0.71358,0.70765,0.66317,0.63358,0.62775,0.59482,0.56466,0.55401,0.56354,0.56321,0.59637,0.60248,0.58314,0.56851,0.57963,0.58367,0.5718,0.56336,0.57137,0.57073,0.58558,0.59737,0.59087,0.59143,0.55152,0.55529,0.57313,0.55687,0.5566,0.54133,0.54375,0.55898,0.55875,0.57557,0.56286,0.54888,0.53238,0.52872,0.52018,0.51708,0.52785,0.53264,0.53463,0.51019,0.5099,0.49371,0.50018,0.50864,0.49231,0.50345,0.48871,0.48792,0.49884,0.47054,0.45421,0.46109,0.46252,0.45458,0.46398,0.46356,0.45733,0.45818,0.45434,0.44723,0.44419,0.43828,0.41902,0.39937,0.38129,0.37539,0.35879,0.35542,0.34403,0.32577,0.31493,0.31271,0.31039,0.28848,0.29157,0.29103,0.28924,0.28704,0.29842,0.30495,0.29901,0.29929,0.30912,0.31233,0
Savage Bluffs 4,0.55672,0.47293,0.46282,0.46311,0.45033,0.45714,0.52573,0.52475,0.54819,0.52889,0.56528,0.59389,0.61203,0.59594,0.61118,0.61413,0.591,0.58259,0.57922,0.56504,0.56739,0.57418,0.57792,0.60766,0.56008,0.57545,0.62242,0.60139,0.57973,0.58434,0.57826,0.57424,0.59809,0.58202,0.60831,0.60694,0.57881,0.58298,0.5645,0.56916,0.53986,0.55722,0.55015,0.53598,0.52031,0.519,0.55524,0.53572,0.54413,0.54377,0.53335,0.53442,0.51851,0.52516,0.50272,0.50378,0.505,0.5095,0.495,0.47849,0.47611,0.47075,0.4643,0.46255,0.49716,0.50962,0.51857,0.55107,0.55965,0.5765,0.57299,0.59049,0.59538,0.58251,0.60097,0.56361,0.56454,0.58187,0.58178,0.56806,0.56453,0.58135,0.56568,0.49622,0.4443,0.42965,0.41957,0.41334,0.40823,0.39447,0.38261,0.36434,0.36053,0.33911,0.34195,0.32757,0.27807,0.2479,0.21939,0.18766
Savage Bluffs 5,0.51684,0.56389,0.48715,0.48715,0.49045,0.4995,0.5367,0.55839,0.57807,0.58518,0.57198,0.58693,0.5734,0.58953,0.58478,0.60127,0.59862,0.59752,0.58442,0.56461,0.51876,0.52194,0.5404,0.52208,0.49166,0.51654,0.53694,0.53126,0.51962,0.49622,0.49737,0.49383,0.50285,0.49399,0.50101,0.49182,0.48306,0.48501,0.49039,0.46252,0.44939,0.4582,0.46087,0.44106,0.4294,0.43576,0.43466,0.44046,0.42412,0.42251,0.43282,0.40353,0.40978,0.39395,0.41184,0.42693,0.42918,0.42799,0.42797,0.42231,0.43487,0.45128,0.44496,0.45657,0.4645,0.44198,0.45625,0.49914,0.52508,0.57276,0.56795,0.57172,0.58149,0.55939,0.57367,0.58061,0.58704,0.56216,0.55731,0.56029,0.56073,0.5649,0.55238,0.5672,0.53388,0.51229,0.48822,0.45569,0.42437,0.34213,0.25449,0.22052,0.19156,0.16879,0.14642,0.092744,0.063657,0.06326,0.049152,0
Savage Bluffs 6,0.99401,0.78755,0.64627,0.68599,0.60766,0.60572,0.58071,0.62203,0.5805,0.54869,0.51112,0.49233,0.49947,0.49786,0.52643,0.51217,0.50281,0.49578,0.49124,0.49619,0.4881,0.49075,0.48483,0.49756,0.49424,0.51862,0.5305,0.53264,0.51583,0.53301,0.50973,0.50461,0.49784,0.52321,0.47083,0.4799,0.49425,0.49674,0.49422,0.49462,0.48121,0.47213,0.46684,0.48103,0.47755,0.4721,0.4723,0.45897,0.47781,0.47217,0.46638,0.46356,0.44675,0.43689,0.43585,0.44031,0.42931,0.42964,0.44531,0.42018,0.42287,0.44912,0.46536,0.4434,0.44089,0.43308,0.45622,0.47169,0.49127,0.478,0.48178,0.47638,0.49828,0.49477,0.50939,0.51786,0.53194,0.52506,0.53467,0.564,0.5703,0.56481,0.57592,0.6055,0.62645,0.62111,0.63249,0.64516,0.64615,0.67046,0.6815,0.66736,0.66659,0.65631,0.63138,0.61177,0.55768,0.48937,0.46999,0.41052
Savage Bluffs 7,0.73883,0.66408,0.58625,0.57446,0.56311,0.56382,0.59301,0.66736,0.65093,0.59928,0.59425,0.56318,0.54304,0.53954,0.5294,0.54415,0.5448,0.53998,0.53936,0.54718,0.54802,0.55469,0.53011,0.52808,0.50792,0.5256,0.52293,0.54347,0.53649,0.52448,0.52871,0.54429,0.54251,0.54669,0.54939,0.53711,0.54115,0.52365,0.49567,0.48091,0.47566,0.47913,0.46994,0.51341,0.51797,0.52087,0.52193,0.54048,0.53649,0.5265,0.54104,0.54241,0.50581,0.50893,0.52025,0.51098,0.53487,0.54153,0.55734,0.55007,0.53574,0.52648,0.52797,0.50801,0.5166,0.4992,0.50571,0.51158,0.49921,0.49578,0.49362,0.48548,0.48969,0.48617,0.50361,0.50316,0.50671,0.51237,0.51476,0.50816,0.49602,0.50682,0.49302,0.49964,0.51848,0.52394,0.55597,0.54705,0.55549,0.55079,0.54209,0.53813,0.5472,0.53092,0.51847,0.50652,0.48969,0.45241,0.44857,0.42456
Savage Bluffs 8,0.59471,0.55874,0.52649,0.59055,0.55166,0.48946,0.43589,0.4088,0.43737,0.49998,0.46625,0.4433,0.44933,0.45018,0.51192,0.50552,0.48653,0.4998,0.4592,0.46875,0.46953,0.50412,0.50405,0.4943,0.52717,0.5462,0.52918,0.52178,0.52831,0.50438,0.50912,0.51945,0.53103,0.52823,0.5484,0.57765,0.55976,0.556,0.55327,0.55718,0.55982,0.56489,0.54457,0.5417,0.55117,0.58348,0.5889,0.6044,0.614,0.62035,0.62059,0.6219,0.61704,0.60391,0.61367,0.60387,0.59943,0.60591,0.58764,0.57052,0.5433,0.54587,0.52774,0.52194,0.503,0.51539,0.48912,0.46426,0.4248,0.39249,0.36679,0.34057,0.3071,0.29718,0.29944,0.28855,0.27054,0.2549,0.23883,0.23192,0.21475,0.22299,0.20535,0.19025,0.18373,0.17553,0.16566,0.16106,0.18037,0.18401,0.19776,0.19061,0.18641,0.19013,0.17333,0.16946,0.16759,0.14974,0.14999,0.1614
Savage Bluffs 9,0.38098,0.50586,0.52964,0.47478,0.45861,0.44363,0.55226,0.60754,0.64219,0.64395,0.64307,0.59319,0.61521,0.63475,0.63565,0.63331,0.64211,0.5958,0.61062,0.64116,0.64117,0.63131,0.65052,0.64892,0.62014,0.63867,0.63979,0.59427,0.57269,0.54477,0.55245,0.56742,0.5801,0.57672,0.56872,0.55465,0.55817,0.53974,0.50752,0.49104,0.47007,0.45992,0.47332,0.47658,0.48136,0.47167,0.49076,0.47229,0.47127,0.45641,0.4438,0.42768,0.44716,0.46561,0.43636,0.42875,0.43514,0.40234,0.41309,0.41188,0.38325,0.39426,0.39932,0.38776,0.37112,0.35682,0.36943,0.35117,0.36741,0.35332,0.35946,0.36309,0.36588,0.34708,0.32271,0.32453,0.31066,0.31888,0.30339,0.28186,0.27534,0.26792,0.26663,0.26712,0.27758,0.29347,0.29728,0.29497,0.30042,0.29954,0.30448,0.29596,0.29351,0.29411,0.29435,0.2948,0.25933,0.25101,0.26417,0.27056
