,O100,O99,O98,O97,O96,O95,O94,O93,O92,O91,O90,O89,O88,O87,O86,O85,O84,O83,O82,O81,O80,O79,O78,O77,O76,O75,O74,O73,O72,O71,O70,O69,O68,O67,O66,O65,O64,O63,O62,O61,O60,O59,O58,O57,O56,O55,O54,O53,O52,O51,O50,O49,O48,O47,O46,O45,O44,O43,O42,O41,O40,O39,O38,O37,O36,O35,O34,O33,O32,O31,O30,O29,O28,O27,O26,O25,O24,O23,O22,O21,O20,O19,O18,O17,O16,O15,O14,O13,O12,O11,O10,O9,O8,O7,O6,O5,O4,O3,O2,O1
Schooner Creek 1,0.69495,0.67482,0.6183,0.68005,0.6708,0.63261,0.65254,0.66109,0.69598,0.68393,0.6463,0.65252,0.67919,0.66362,0.63703,0.63432,0.65547,0.66233,0.64283,0.61429,0.60378,0.62518,0.63027,0.63358,0.63616,0.63634,0.61298,0.62329,0.63802,0.62203,0.62281,0.60479,0.60734,0.62124,0.61545,0.61116,0.58503,0.58933,0.59619,0.57274,0.57135,0.56094,0.56381,0.57376,0.57619,0.58216,0.58729,0.58221,0.57705,0.57379,0.57343,0.57237,0.57177,0.5525,0.5639,0.55378,0.56891,0.54935,0.55373,0.55492,0.54998,0.56039,0.55025,0.54927,0.54666,0.55325,0.54301,0.52985,0.5187,0.52533,0.52428,0.52048,0.53535,0.51493,0.50267,0.49532,0.49556,0.48398,0.47852,0.49235,0.50853,0.49316,0.48606,0.47157,0.45584,0.46216,0.45205,0.44999,0.44463,0.41781,0.39738,0.40599,0.36637,0.33926,0.30884,0.29214,0.25786,0.21757,0.21995,0.21794
Schooner Creek 2,0.87829,0.81044,0.83737,0.82711,0.8178,0.78409,0.75592,0.70301,0.70273,0.70566,0.73937,0.75835,0.74094,0.71714,0.67689,0.67457,0.65174,0.66945,0.71573,0.70651,0.71443,0.70685,0.69001,0.68217,0.70059,0.70676,0.71525,0.68997,0.67661,0.67757,0.67489,0.69711,0.69128,0.68281,0.69108,0.68897,0.67318,0.67542,0.68202,0.67507,0.67799,0.6731,0.66224,0.65335,0.63351,0.636,0.62087,0.6121,0.59501,0.59466,0.59725,0.59988,0.58075,0.57726,0.571,0.56365,0.56077,0.55251,0.52752,0.52096,0.51339,0.50194,0.5048,0.49406,0.46864,0.47004,0.47123,0.46066,0.44468,0.44999,0.45599,0.43156,0.42047,0.4294,0.3981,0.37234,0.34664,0.31845,0.29294,0.27661,0.24128,0.23498,0.21836,0.21139,0.20027,0.18001,0.16743,0.16652,0.16332,0.16055,0.14499,0.13004,0.10383,0.104,0.094518,0.10282,0.090907,0.064946,0.050259,0.037571
Schooner Creek 3,0.86332,0.84914,0.87423,0.82588,0.77854,0.78325,0.68927,0.64641,0.68151,0.6722,0.631,0.61587,0.61263,0.62114,0.5871,0.5766,0.5846,0.5726,0.53528,0.55468,0.55404,0.55898,0.60716,0.58291,0.58822,0.59398,0.58418,0.53969,0.54149,0.5351,0.54491,0.52217,0.51162,0.51971,0.50391,0.51176,0.52401,0.55755,0.55084,0.56014,0.55644,0.55806,0.56945,0.57601,0.55147,0.52259,0.5286,0.53659,0.55975,0.56005,0.56623,0.57043,0.58587,0.57516,0.57222,0.55464,0.56127,0.58444,0.57043,0.55969,0.55166,0.54135,0.5262,0.5288,0.51064,0.49184,0.47651,0.45105,0.427,0.41712,0.39346,0.38643,0.36373,0.3575,0.35324,0.33236,0.32739,0.33448,0.31428,0.31596,0.30285,0.30117,0.28828,0.30929,0.31593,0.28903,0.28604,0.28717,0.27299,0.25415,0.2402,0.25939,0.24732,0.22268,0.2141,0.20268,0.20141,0.20387,0.19223,0.16582
Schooner Creek 4,0.42381,0.41849,0.533,0.51417,0.49242,0.4712,0.51643,0.50489,0.55905,0.60627,0.62137,0.61783,0.61056,0.6097,0.62468,0.64104,0.6423,0.63154,0.60232,0.63427,0.64416,0.63301,0.62112,0.64432,0.61892,0.60808,0.60298,0.65427,0.62793,0.56841,0.59048,0.59076,0.60986,0.59931,0.62335,0.63814,0.6461,0.64413,0.6351,0.60192,0.60544,0.61205,0.61706,0.60986,0.60235,0.59834,0.60227,0.5983,0.57526,0.5792,0.57304,0.56199,0.58763,0.58176,0.58629,0.57493,0.5811,0.58367,0.58992,0.58849,0.58995,0.58983,0.5964,0.59648,0.59324,0.58819,0.59224,0.6017,0.60274,0.59957,0.59391,0.59283,0.59361,0.58448,0.59823,0.60747,0.60167,0.5935,0.5788,0.56854,0.53818,0.5211,0.52832,0.52533,0.52544,0.52424,0.5373,0.54435,0.5438,0.52852,0.49674,0.46598,0.4492,0.43595,0.43313,0.41944,0.41727,0.39704,0.38754,0.36031
Schooner Creek 5,0.6412,0.3534,0.43009,0.53879,0.5577,0.54256,0.5699,0.55686,0.52162,0.54474,0.5666,0.59839,0.60408,0.61202,0.59698,0.58671,0.58943,0.59633,0.59118,0.62071,0.60245,0.58445,0.6203,0.59795,0.63625,0.60707,0.58445,0.58796,0.57285,0.61261,0.59176,0.60559,0.58925,0.5803,0.58609,0.5959,0.60135,0.60411,0.58859,0.57995,0.55036,0.55799,0.53542,0.53317,0.54344,0.54939,0.56879,0.56123,0.57023,0.58325,0.58116,0.60775,0.62482,0.61199,0.6021,0.61057,0.61014,0.60668,0.63233,0.63966,0.64564,0.64022,0.63418,0.62464,0.62578,0.61938,0.60906,0.6008,0.58896,0.56615,0.54737,0.54507,0.52354,0.48649,0.46867,0.4637,0.45422,0.42632,0.41084,0.40343,0.39711,0.37491,0.35167,0.32819,0.30634,0.27646,0.23203,0.21926,0.20079,0.17517,0.14411,0.1258,0.089519,0.058951,0.039794,0.031223,0.038537,0.039235,0.037766,0.030281
Schooner Creek 6,0.91966,0.86423,0.87284,0.82425,0.84232,0.83406,0.80972,0.76541,0.7946,0.80968,0.80293,0.79366,0.78773,0.75911,0.76493,0.76828,0.7462,0.73583,0.7241,0.70048,0.69408,0.67101,0.64271,0.65341,0.66811,0.64845,0.64311,0.62435,0.64287,0.63444,0.62107,0.61857,0.62186,0.62605,0.63587,0.64667,0.64966,0.63355,0.65092,0.6547,0.66395,0.65043,0.63715,0.62578,0.62544,0.63839,0.65241,0.64318,0.65141,0.64363,0.65041,0.64763,0.64251,0.64536,0.64128,0.62866,0.64014,0.62585,0.62677,0.62031,0.62663,0.60261,0.60409,0.60184,0.59799,0.58202,0.58678,0.58187,0.56226,0.53722,0.52599,0.51879,0.5113,0.49027,0.46573,0.46272,0.45627,0.43745,0.42021,0.41769,0.40643,0.40368,0.40428,0.4006,0.38032,0.35965,0.34801,0.32054,0.29461,0.29699,0.30224,0.29643,0.29413,0.27878,0.27266,0.27139,0.26904,0.25907,0.24686,0.23337
Schooner Creek 7,0.59713,0.55369,0.63751,0.60841,0.60765,0.5687,0.59766,0.5514,0.57243,0.55797,0.57413,0.59332,0.59337,0.58219,0.59843,0.55854,0.52702,0.50602,0.49605,0.50224,0.50261,0.50759,0.49336,0.47576,0.42403,0.40758,0.43839,0.48185,0.51322,0.51598,0.48561,0.5023,0.50186,0.50117,0.54142,0.54864,0.53109,0.55426,0.54578,0.55881,0.53887,0.57,0.59435,0.56557,0.5586,0.54574,0.53588,0.54232,0.54531,0.54258,0.52773,0.52017,0.51437,0.51707,0.51374,0.53786,0.55845,0.57305,0.59467,0.60357,0.60636,0.59248,0.58522,0.59107,0.59642,0.59485,0.58226,0.54561,0.56191,0.5637,0.56316,0.52788,0.51876,0.51622,0.47211,0.46968,0.48025,0.47713,0.47217,0.45443,0.44532,0.44176,0.43817,0.42879,0.41485,0.38629,0.37678,0.38051,0.38042,0.3767,0.35942,0.36388,0.34827,0.32128,0.31432,0.31117,0.31592,0.27715,0.25369,0.24725
Schooner Creek 8,0.47027,0.51533,0.54096,0.68163,0.82031,0.82538,0.7623,0.73884,0.7487,0.78525,0.75925,0.75976,0.77326,0.75956,0.71657,0.6922,0.70004,0.6639,0.65238,0.65811,0.64362,0.66146,0.65725,0.65807,0.6451,0.63018,0.66894,0.65162,0.64565,0.6335,0.61905,0.60358,0.62053,0.60571,0.61512,0.60222,0.60694,0.62987,0.61104,0.60729,0.60876,0.61761,0.62256,0.62915,0.64485,0.64057,0.62892,0.62118,0.62139,0.61889,0.61928,0.60983,0.60541,0.59809,0.59926,0.58535,0.57807,0.57585,0.57391,0.57388,0.59066,0.59572,0.58027,0.5907,0.56544,0.56613,0.54747,0.54433,0.53628,0.5125,0.52432,0.52362,0.51365,0.50658,0.49916,0.49883,0.48896,0.49998,0.49068,0.48358,0.46186,0.44776,0.43303,0.42994,0.42455,0.4101,0.38891,0.37841,0.37732,0.34631,0.32872,0.32247,0.31673,0.28885,0.24849,0.21639,0.19699,0.16504,0.14801,0.13654
Schooner Creek 9,0.82657,0.73462,0.71134,0.6378,0.62347,0.7015,0.70449,0.66435,0.66069,0.66864,0.69577,0.69414,0.66126,0.61835,0.65371,0.68426,0.72128,0.71235,0.7003,0.68798,0.68486,0.67089,0.66201,0.68502,0.6879,0.68033,0.67839,0.68438,0.68466,0.65087,0.63437,0.66046,0.65329,0.64485,0.63068,0.65038,0.63791,0.63985,0.62607,0.5932,0.60349,0.60047,0.60304,0.63173,0.61958,0.60295,0.59317,0.57738,0.56518,0.56029,0.56116,0.55913,0.5586,0.56504,0.56162,0.56571,0.56102,0.5427,0.55033,0.56084,0.54232,0.53348,0.53738,0.53269,0.54718,0.52497,0.49781,0.53463,0.53522,0.5245,0.52235,0.52689,0.50675,0.44526,0.41435,0.38354,0.37872,0.38168,0.3816,0.36585,0.3601,0.3516,0.33894,0.32216,0.31633,0.30478,0.28997,0.27409,0.26756,0.259,0.24865,0.23659,0.23227,0.22657,0.20912,0.19368,0.16954,0.15022,0.11928,0.10729
Three Horn 1,0.49598,0.48075,0.59302,0.59184,0.5912,0.59515,0.56104,0.46755,0.44784,0.46109,0.5099,0.5246,0.50273,0.48915,0.50352,0.53207,0.5516,0.56116,0.52389,0.5089,0.53612,0.48767,0.46514,0.4574,0.46236,0.45995,0.46891,0.45363,0.44285,0.44749,0.44187,0.45261,0.43759,0.43782,0.43528,0.44686,0.45885,0.46467,0.46538,0.46909,0.4572,0.44485,0.46966,0.49651,0.50006,0.50914,0.50749,0.49124,0.52228,0.52485,0.51682,0.54801,0.58858,0.57291,0.56077,0.56896,0.57282,0.58155,0.56906,0.56191,0.57514,0.59093,0.57439,0.57231,0.58299,0.58544,0.56611,0.59465,0.6038,0.59151,0.56217,0.51737,0.48295,0.45558,0.40026,0.33449,0.31186,0.28535,0.25263,0.22586,0.21717,0.19554,0.17493,0.15523,0.13325,0.12453,0.092582,0.06076,0.055063,0.033072,0.020106,0.022806,0.02274,0.02268,0.020122,0.019643,0.024117,0.024514,0.016455,0.014584
Three Horn 2,0.32906,0.38051,0.45544,0.52321,0.51191,0.47031,0.38592,0.40745,0.43692,0.41529,0.46517,0.48966,0.46874,0.46936,0.39662,0.42299,0.43554,0.46331,0.49332,0.50466,0.50888,0.49984,0.5334,0.52306,0.55658,0.58026,0.55328,0.58163,0.53884,0.51821,0.52246,0.53326,0.54504,0.54635,0.53092,0.53152,0.5472,0.53456,0.54863,0.57525,0.57511,0.58651,0.58317,0.58903,0.60279,0.62552,0.61939,0.60974,0.62799,0.64194,0.64861,0.66839,0.69795,0.69143,0.69735,0.70104,0.6888,0.68967,0.66601,0.66652,0.67276,0.66266,0.65113,0.64296,0.63472,0.63165,0.63541,0.63728,0.63805,0.64133,0.64259,0.6383,0.64394,0.63944,0.65644,0.65175,0.63638,0.64226,0.65623,0.62805,0.62135,0.64089,0.62408,0.61753,0.62533,0.60328,0.59796,0.60764,0.62098,0.61975,0.60723,0.60231,0.57093,0.55893,0.53334,0.47544,0.45504,0.44506,0.40224,0.3472
Three Horn 3,0.91707,0.51563,0.48054,0.48898,0.44444,0.48635,0.50804,0.53578,0.50192,0.54863,0.57254,0.57793,0.60163,0.52481,0.50164,0.49975,0.51692,0.56414,0.54924,0.53512,0.51271,0.53486,0.53172,0.51022,0.52183,0.55759,0.57141,0.55422,0.55217,0.5625,0.54061,0.51278,0.51356,0.52454,0.55676,0.55873,0.53349,0.5326,0.52618,0.54969,0.54005,0.54432,0.54799,0.54416,0.52033,0.50009,0.51066,0.51071,0.5159,0.51691,0.53944,0.54474,0.55393,0.55689,0.55566,0.57585,0.56499,0.57347,0.57323,0.59066,0.56445,0.57873,0.57479,0.55729,0.56007,0.56314,0.56067,0.58221,0.55391,0.58766,0.58147,0.57893,0.57589,0.57593,0.5805,0.599,0.58589,0.56699,0.56998,0.57258,0.57198,0.57417,0.56983,0.55003,0.54828,0.5455,0.53928,0.53976,0.5099,0.46253,0.38219,0.27782,0.23352,0.2181,0.18129,0.1314,0.095475,0.059597,0.027574,0.013945
Three Horn 4,0.44468,0.30547,0.39426,0.43935,0.46465,0.37581,0.35582,0.42773,0.44539,0.51041,0.59684,0.61574,0.64859,0.69639,0.6476,0.63185,0.6459,0.63628,0.60202,0.60947,0.59078,0.59831,0.59247,0.59659,0.58384,0.57776,0.57013,0.52402,0.5324,0.54176,0.53831,0.5214,0.50934,0.51411,0.52117,0.5097,0.51479,0.50145,0.50676,0.49148,0.48775,0.52168,0.52976,0.51749,0.54516,0.57052,0.55944,0.5553,0.55399,0.55148,0.56498,0.5602,0.57722,0.58326,0.59652,0.5917,0.56955,0.57777,0.58926,0.61034,0.62285,0.63008,0.60942,0.60656,0.60124,0.59773,0.62873,0.62756,0.64466,0.65732,0.64124,0.62133,0.62233,0.62838,0.62253,0.63092,0.61863,0.61823,0.64036,0.62345,0.63244,0.59355,0.58969,0.5886,0.59758,0.61598,0.58754,0.60549,0.58128,0.56451,0.57044,0.54782,0.55611,0.53059,0.47651,0.45557,0.43069,0.40017,0.34054,0.28989
Three Horn 5,0.76011,0.59379,0.57111,0.7036,0.70016,0.73964,0.72579,0.67764,0.62685,0.62406,0.61623,0.64597,0.6309,0.594,0.57245,0.574,0.5528,0.53951,0.52736,0.53203,0.53866,0.56732,0.58091,0.65,0.62851,0.60745,0.57912,0.566,0.56593,0.56486,0.54333,0.51204,0.52564,0.53464,0.55198,0.54727,0.52434,0.51029,0.52712,0.54213,0.57769,0.59465,0.58901,0.58487,0.58056,0.58114,0.57389,0.57555,0.5397,0.53676,0.54598,0.56265,0.56223,0.56794,0.60053,0.57406,0.59805,0.60404,0.61599,0.61067,0.61548,0.60477,0.62629,0.65157,0.66363,0.64986,0.66913,0.68695,0.68214,0.69206,0.71131,0.70462,0.70975,0.73025,0.70921,0.72143,0.72225,0.72514,0.72092,0.72407,0.71563,0.7136,0.72148,0.72167,0.71974,0.71224,0.71105,0.71864,0.73948,0.73448,0.71892,0.67291,0.67456,0.64875,0.62066,0.62269,0.60909,0.56573,0.55899,0.52815
Three Horn 6,0.31447,0.33761,0.40783,0.39108,0.44212,0.50433,0.56154,0.63267,0.67137,0.6576,0.62087,0.64398,0.6372,0.62924,0.61448,0.60299,0.62411,0.61299,0.58658,0.59499,0.55724,0.56114,0.56585,0.5585,0.56512,0.56268,0.56164,0.55508,0.57079,0.58777,0.58474,0.57646,0.5582,0.59325,0.55179,0.5601,0.56512,0.55815,0.5787,0.59028,0.57742,0.59601,0.59514,0.59383,0.61599,0.612,0.6094,0.63433,0.62597,0.63927,0.63593,0.62561,0.64895,0.65371,0.65565,0.68281,0.65737,0.66698,0.66965,0.67066,0.66894,0.66614,0.65733,0.65719,0.66246,0.6425,0.65224,0.65893,0.67728,0.6881,0.67672,0.66807,0.65395,0.65942,0.66259,0.65614,0.6492,0.6458,0.63824,0.6107,0.6089,0.59031,0.53957,0.5171,0.49755,0.48146,0.46131,0.42658,0.40108,0.3855,0.36077,0.30068,0.22552,0.17973,0.15122,0.14701,0.14284,0.13571,0.12043,0.10615
Three Horn 7,0.76831,0.65191,0.59194,0.62047,0.70536,0.73817,0.78019,0.7762,0.74582,0.74428,0.74301,0.69211,0.70925,0.70497,0.70096,0.66296,0.6652,0.67491,0.63413,0.60576,0.57737,0.55294,0.56786,0.55843,0.56456,0.59895,0.6044,0.59314,0.54366,0.54323,0.53706,0.53955,0.55853,0.55319,0.51504,0.51441,0.52492,0.54108,0.54768,0.54369,0.55146,0.54538,0.51811,0.51447,0.51284,0.4986,0.50188,0.49608,0.4986,0.51108,0.50938,0.5062,0.49534,0.47497,0.48445,0.51106,0.53081,0.51732,0.54222,0.51998,0.50909,0.51071,0.52799,0.52235,0.53808,0.53662,0.55229,0.55383,0.58694,0.58482,0.57811,0.5833,0.55923,0.55984,0.5552,0.5567,0.56167,0.5638,0.56418,0.58616,0.56141,0.53389,0.54457,0.58508,0.58633,0.59399,0.59047,0.56886,0.56139,0.53176,0.53483,0.542,0.56415,0.57852,0.5859,0.59184,0.5674,0.55923,0.56315,0
Three Horn 8,0.54985,0.6436,0.56948,0.48367,0.57925,0.58351,0.51667,0.51447,0.49336,0.46994,0.47779,0.47169,0.50682,0.52657,0.53048,0.50743,0.46995,0.45485,0.43731,0.3829,0.38093,0.35107,0.33131,0.32971,0.34313,0.36265,0.38536,0.37863,0.40535,0.40273,0.39914,0.39757,0.39367,0.40365,0.41816,0.37921,0.41155,0.40783,0.44769,0.4573,0.48924,0.50128,0.49349,0.50733,0.51845,0.55631,0.56747,0.57511,0.59923,0.5837,0.58766,0.59904,0.60836,0.61869,0.60503,0.58074,0.58269,0.59234,0.59954,0.61132,0.6255,0.60654,0.61686,0.62428,0.6433,0.63935,0.64993,0.64155,0.64227,0.6381,0.62395,0.61667,0.62082,0.6326,0.6405,0.64138,0.64516,0.64554,0.64981,0.64389,0.62762,0.63288,0.61089,0.61224,0.60155,0.59726,0.61502,0.62187,0.60864,0.59929,0.61189,0.62016,0.59892,0.59176,0.57006,0.53216,0.48969,0.45604,0.45747,0
Three Horn 9,1,1,1,0.98009,0.85918,0.72831,0.6373,0.58832,0.57488,0.55581,0.56191,0.59085,0.57699,0.556,0.5751,0.58527,0.55093,0.51714,0.50098,0.50401,0.50687,0.51432,0.54261,0.53279,0.53141,0.54542,0.52677,0.52149,0.54797,0.53393,0.50902,0.4962,0.4648,0.48835,0.51094,0.51781,0.48151,0.51115,0.52437,0.52713,0.55532,0.54781,0.54948,0.54492,0.52195,0.53334,0.54404,0.56266,0.55571,0.55738,0.58921,0.58341,0.58588,0.58102,0.57531,0.57727,0.57426,0.55816,0.56039,0.56614,0.57812,0.5748,0.57463,0.60385,0.61039,0.60471,0.58986,0.56975,0.5937,0.60365,0.60238,0.59766,0.60751,0.61165,0.61648,0.63416,0.64025,0.63477,0.64431,0.66868,0.66282,0.63477,0.62346,0.62733,0.61625,0.62783,0.63739,0.63469,0.63646,0.6582,0.658,0.65146,0.63277,0.64578,0.65364,0.63365,0.61995,0.62058,0.63263,0.62288
Trail Creek 1,0.58218,0.44928,0.46161,0.43535,0.5066,0.59595,0.58692,0.58185,0.58263,0.63627,0.6495,0.65072,0.60948,0.54703,0.5896,0.6019,0.59838,0.60597,0.58299,0.58715,0.62383,0.61021,0.60317,0.62181,0.60125,0.58101,0.57887,0.5567,0.57005,0.5628,0.55177,0.55179,0.58927,0.56234,0.55336,0.55572,0.53372,0.53212,0.53876,0.53549,0.54165,0.53588,0.53555,0.54161,0.54859,0.59781,0.59539,0.61235,0.61529,0.58458,0.58914,0.57531,0.56704,0.57871,0.58492,0.58451,0.58565,0.57621,0.59368,0.58584,0.58265,0.5695,0.57077,0.59917,0.58676,0.58578,0.58689,0.58754,0.58347,0.59027,0.59273,0.61296,0.62399,0.62856,0.61649,0.62748,0.61431,0.61471,0.62566,0.6221,0.62066,0.59887,0.62285,0.63179,0.62777,0.63114,0.63256,0.62621,0.60627,0.60395,0.61078,0.62887,0.62916,0.63503,0.59859,0.56413,0.53061,0.49519,0.46454,0.43357
Trail Creek 2,0.85305,0.59471,0.52548,0.48767,0.43402,0.48891,0.53143,0.5853,0.60264,0.56555,0.57756,0.60739,0.61935,0.56279,0.52722,0.54918,0.55141,0.59893,0.63052,0.64147,0.63816,0.59141,0.54213,0.54071,0.49815,0.46963,0.46025,0.45938,0.43694,0.44729,0.45539,0.46394,0.46056,0.46442,0.46359,0.45901,0.44864,0.43525,0.41507,0.41435,0.40427,0.38842,0.36332,0.35637,0.37131,0.36772,0.39088,0.39627,0.41025,0.44467,0.44402,0.45211,0.45383,0.49604,0.54771,0.56156,0.53079,0.54288,0.53447,0.55678,0.55666,0.55742,0.5502,0.53103,0.52696,0.52613,0.54576,0.55295,0.56004,0.53149,0.51727,0.49999,0.48947,0.50347,0.50523,0.51094,0.51118,0.50306,0.5251,0.53474,0.51159,0.50313,0.47745,0.51604,0.51513,0.49496,0.4892,0.48352,0.48522,0.47932,0.46603,0.46942,0.47677,0.47727,0.49059,0.45135,0.42353,0.4396,0,0
Trail Creek 3,0.55931,0.49389,0.50202,0.39474,0.41401,0.44146,0.40755,0.45407,0.46483,0.48523,0.5183,0.60825,0.63015,0.63876,0.62612,0.57987,0.59295,0.62839,0.65466,0.64434,0.67152,0.66862,0.64804,0.62262,0.60307,0.5967,0.55567,0.56608,0.56407,0.58397,0.58857,0.59355,0.58299,0.57099,0.5644,0.59142,0.57738,0.57465,0.57798,0.56833,0.5394,0.55572,0.55925,0.51903,0.5486,0.5666,0.5603,0.54185,0.55218,0.52107,0.53503,0.56407,0.56847,0.56262,0.58581,0.58725,0.58083,0.56321,0.55444,0.57469,0.55432,0.57179,0.57297,0.5783,0.57358,0.57069,0.57127,0.55809,0.58773,0.57481,0.57182,0.55828,0.55143,0.57217,0.553,0.53655,0.56069,0.5421,0.54825,0.55155,0.54557,0.54642,0.55445,0.54487,0.57474,0.5519,0.54064,0.53743,0.5469,0.54205,0.538,0.5462,0.54098,0.54817,0.53103,0.54073,0.50374,0.48214,0.47328,0.47405
Trail Creek 4,0.28006,0.35025,0.50871,0.52804,0.41658,0.45546,0.46343,0.5012,0.50916,0.51037,0.42043,0.3745,0.40159,0.394,0.40642,0.42353,0.45885,0.47725,0.47202,0.44926,0.47303,0.50312,0.48262,0.46744,0.45117,0.43186,0.50675,0.52356,0.49159,0.5218,0.52917,0.51188,0.49948,0.49012,0.48743,0.4744,0.47667,0.48146,0.4904,0.47325,0.4893,0.50128,0.50882,0.49906,0.49676,0.53359,0.55928,0.55486,0.51607,0.52744,0.52704,0.55986,0.53756,0.54854,0.54798,0.54893,0.55418,0.56455,0.57832,0.56971,0.57567,0.55579,0.52965,0.53678,0.52163,0.54355,0.5581,0.55918,0.52722,0.53998,0.56601,0.55797,0.54111,0.52822,0.52711,0.52157,0.50914,0.5138,0.52503,0.48437,0.46571,0.47643,0.5033,0.51909,0.53501,0.53498,0.50991,0.49978,0.50095,0.48972,0.44947,0.46667,0.4554,0.44923,0.45716,0.44508,0.433,0.42814,0.42077,0.42477
Trail Creek 5,0.80322,0.64629,0.56885,0.4952,0.43165,0.46412,0.49694,0.51394,0.5149,0.50022,0.49472,0.50784,0.521,0.48511,0.50524,0.48079,0.5355,0.53526,0.56652,0.5897,0.56792,0.56251,0.58655,0.59184,0.61538,0.61702,0.61229,0.63076,0.59693,0.58265,0.60261,0.60046,0.60201,0.59954,0.59345,0.60637,0.60517,0.60315,0.60345,0.60062,0.58166,0.58145,0.60325,0.59722,0.60449,0.60048,0.61736,0.6161,0.60769,0.62859,0.62436,0.60629,0.60422,0.57136,0.61423,0.58155,0.59278,0.57923,0.57917,0.58211,0.59465,0.58024,0.56778,0.59728,0.5975,0.60386,0.61645,0.63347,0.64212,0.63366,0.64175,0.62796,0.63769,0.64807,0.633,0.65044,0.6414,0.63117,0.61402,0.61725,0.64629,0.65157,0.6493,0.62618,0.61194,0.65245,0.64993,0.66734,0.64594,0.61817,0.6385,0.62099,0.6252,0.62135,0.609,0.62023,0.61013,0.57507,0.57327,0.55267
Trail Creek 6,0.35899,0.50763,0.49772,0.53229,0.50407,0.50267,0.5204,0.50583,0.49798,0.45988,0.48368,0.52001,0.60216,0.65491,0.63549,0.6813,0.65113,0.66166,0.61189,0.56023,0.55139,0.54756,0.55508,0.57657,0.56589,0.57625,0.50145,0.45178,0.45248,0.45528,0.50202,0.56259,0.55627,0.53658,0.54131,0.5214,0.50607,0.49363,0.47994,0.4661,0.44624,0.47632,0.48102,0.45542,0.48786,0.48413,0.50271,0.49382,0.49335,0.49819,0.51938,0.50157,0.48874,0.50431,0.52098,0.51934,0.52073,0.53001,0.51668,0.50841,0.51603,0.53691,0.53045,0.53372,0.5707,0.55703,0.56964,0.56924,0.57058,0.57895,0.57303,0.56904,0.58399,0.59153,0.5871,0.58252,0.58876,0.59677,0.60411,0.61674,0.61813,0.60937,0.6349,0.62305,0.62697,0.63658,0.62428,0.64412,0.64085,0.6341,0.62641,0.64304,0.62537,0.63856,0.65862,0.66479,0.66033,0.6647,0.65994,0.67308
Trail Creek 7,0.83193,0.81489,0.81867,0.77932,0.80604,0.80408,0.68881,0.60429,0.61577,0.60817,0.55189,0.52131,0.57428,0.60368,0.61071,0.67658,0.69296,0.72797,0.73548,0.72773,0.70151,0.65987,0.65541,0.66435,0.65775,0.68422,0.70856,0.71097,0.68757,0.65277,0.63107,0.63923,0.61923,0.60685,0.58708,0.61932,0.62882,0.61519,0.61756,0.60757,0.60894,0.58999,0.59272,0.60486,0.60833,0.59458,0.60804,0.63144,0.63706,0.62177,0.64211,0.63178,0.64424,0.65599,0.6464,0.63054,0.6494,0.64355,0.64859,0.65127,0.61392,0.61459,0.62679,0.61752,0.60967,0.61169,0.61789,0.61989,0.62426,0.63867,0.61139,0.60817,0.60066,0.61052,0.62741,0.6265,0.62196,0.6284,0.63868,0.62436,0.62791,0.62118,0.607,0.58121,0.56899,0.57243,0.5744,0.56384,0.55544,0.56026,0.55638,0.54215,0.52385,0.50992,0.47455,0.46014,0.47202,0.46267,0.43155,0
Trail Creek 8,0.23971,0.40614,0.4923,0.48245,0.42694,0.42794,0.40935,0.46871,0.44817,0.47539,0.46957,0.514,0.53416,0.53944,0.52933,0.5012,0.54711,0.53952,0.53441,0.53226,0.53718,0.54407,0.55232,0.55621,0.52541,0.50704,0.5249,0.5177,0.50666,0.5059,0.52813,0.53288,0.55687,0.54015,0.54452,0.56305,0.56502,0.58665,0.59199,0.58597,0.57863,0.55057,0.57633,0.55002,0.53898,0.56401,0.56056,0.55408,0.55222,0.55336,0.56294,0.56318,0.56437,0.54181,0.53636,0.54715,0.57128,0.57211,0.58191,0.59414,0.58436,0.58521,0.58868,0.6258,0.64102,0.64226,0.66488,0.61819,0.62265,0.57322,0.56354,0.5193,0.50626,0.46491,0.45851,0.44698,0.45209,0.45158,0.42417,0.41051,0.40198,0.3954,0.38005,0.37586,0.35629,0.34813,0.32469,0.33094,0.31498,0.32995,0.32818,0.3231,0.29829,0.26972,0.24664,0.25324,0.24219,0.21706,0.18856,0.1702
Trail Creek 9,0.61465,0.57486,0.52315,0.54674,0.50111,0.60439,0.55511,0.43369,0.48698,0.48888,0.48607,0.49509,0.51433,0.55206,0.52361,0.56879,0.64421,0.64536,0.63085,0.63567,0.59163,0.5555,0.52484,0.52153,0.50052,0.54982,0.53425,0.54908,0.53091,0.5101,0.47981,0.49434,0.47802,0.50496,0.48909,0.48384,0.49694,0.5054,0.52212,0.54526,0.53347,0.54153,0.51888,0.52042,0.49181,0.49426,0.49897,0.48478,0.45789,0.47752,0.48029,0.47322,0.48235,0.46869,0.50588,0.4981,0.5141,0.52052,0.53467,0.52685,0.52216,0.50427,0.51113,0.50506,0.50203,0.47603,0.47041,0.46607,0.45126,0.47246,0.47463,0.45964,0.44708,0.45373,0.44706,0.41173,0.41306,0.42234,0.40224,0.37189,0.34675,0.33428,0.31427,0.29339,0.32086,0.34134,0.32082,0.33291,0.3559,0.37255,0.3512,0.35097,0.33245,0.32046,0.33036,0.30868,0.32325,0.31208,0.30957,0.31615
