"","D47","D46","D45","D44","D43","D42","D41","D40","D39","D38"
"Ferngully 7",5.5151,5.6039,5.7106,5.8194,6.2654,6.2563,6.5126,6.4126,6.2283,6.217
"Ferngully 8",28.322,27.599,27.61,27.675,27.104,26.48,27.119,26.901,25.391,25.163
"Ferngully 9",14.726,14.224,13.729,12.751,14.032,14.972,16.301,20.435,20.063,20.904
"Potnu 1",31.778,33.527,33.981,35.59,35.889,37.532,37.444,37.768,39.008,38.826
"Potnu 2",22.061,22.234,22.599,23.117,24.457,25.075,25.045,25.691,26.054,25.343
"Potnu 3",9.5888,10.299,10.425,11.354,10.265,9.1853,8.7431,8.5454,7.9193,7.0333
"Potnu 4",19.712,20.515,21.646,21.906,22.043,21.476,21.613,22.017,22.374,22.676
"Potnu 5",7.5878,7.4279,7.9132,8.2808,8.2208,8.3343,8.6851,8.8269,8.5744,8.7651
"Potnu 6",27.9,27.863,28.251,28.552,29.331,30.159,29.666,29.585,31.414,32.893
"Potnu 7",21.101,21.154,21.961,22.096,22.099,21.505,21.431,22.349,23.02,23.808
"Potnu 8",14.22,14.484,14.437,15.237,15.419,15.527,15.391,15.453,15.458,15.968
"Potnu 9",18.334,19.431,19.278,18.241,17.822,16.644,16.141,15.556,15.658,15.487
"Savage Bluffs 1",23.437,23.658,23.656,23.484,23.667,23.064,22.757,22.177,21.481,21.027
"Savage Bluffs 2",28.632,28.499,29.375,30.016,30.199,30.252,29.65,28.827,27.874,27.713
"Savage Bluffs 3",27.566,28.498,28.289,27.555,27.13,28.007,28.348,29.49,29.646,29.336
"Savage Bluffs 4",29.739,30.772,30.99,30.994,31.058,30.259,29.971,30.47,29.681,29.157
"Savage Bluffs 5",27.543,28.854,29.341,28.892,28.913,29.952,29.735,28.999,26.925,26.619
"Savage Bluffs 6",32.386,31.613,31.405,30.467,29.645,29.488,27.984,27.271,27.221,27.799
"Savage Bluffs 7",18.872,18.792,18.815,18,18.126,18.469,18.137,17.573,17.141,17.188
"Savage Bluffs 8",15.754,16.748,17.399,18.122,17.858,18.679,19.427,20.707,21.681,21.765
"Savage Bluffs 9",13.115,12.789,12.114,11.746,11.737,12.066,12.752,11.844,11.797,12.036
"Schooner Creek 1",14.186,14.056,14.224,13.96,13.767,14.064,14.13,14.494,14.505,14.096
"Schooner Creek 2",19.182,19.115,19.895,19.946,19.982,20.255,20.036,20.082,20.642,21.285
"Schooner Creek 3",9.6684,9.1428,8.5849,8.3695,8.2786,8.345,8.5682,8.5632,8.6127,7.9519
"Schooner Creek 4",7.8669,7.6283,7.7846,7.8272,7.8312,7.9921,8.1361,8.172,8.2021,8.0318
"Schooner Creek 5",5.4269,5.3798,5.6278,5.5862,5.5961,5.5562,5.6872,5.834,5.9437,5.976
"Schooner Creek 6",15.463,15.779,15.747,15.675,15.463,15.586,15.408,16.163,15.743,15.442
